spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Brela,2022,429.0,26.8,88620.0,5450.2,3306.7,6.6,83.3,260.3,581283.0,35749.3,21689.7,6976.0,60.0,1626.0,municipality,brela
Brela,2023,423.7,26.8,116507.0,7165.3,4347.3,5.6,94.9,257.1,653972.0,40219.7,24401.9,6890.0,60.0,1626.0,municipality,brela
Brela,2024,416.2,26.8,115692.0,7115.1,4316.9,5.7,97.6,252.5,660559.0,40624.8,24647.7,6768.0,60.0,1626.0,municipality,brela
Brestovac,2021,1.5,279.52,1332.0,44.7,4.8,3.0,91.5,0.2,4027.0,135.1,14.4,44.0,10.0,2980.0,municipality,brestovac
Brestovac,2022,1.5,279.52,1278.0,42.9,4.6,2.9,83.1,0.2,3655.0,122.7,13.1,44.0,10.0,2980.0,municipality,brestovac
Brestovac,2023,1.9,279.52,1407.0,47.2,5.0,2.9,72.8,0.2,4148.0,139.2,14.8,57.0,10.0,2980.0,municipality,brestovac
Brestovac,2024,1.7,279.52,1383.0,46.4,4.9,2.9,77.5,0.2,4032.0,135.3,14.4,52.0,10.0,2980.0,municipality,brestovac
Breznica,2021,0.7,33.52,,,,,,0.4,,,,14.0,58.0,1970.0,municipality,breznica
Breznica,2022,0.3,33.52,,,,,,0.1,,,,5.0,58.0,1970.0,municipality,breznica
Breznica,2023,0.5,33.52,,,,,,0.3,,,,9.0,58.0,1970.0,municipality,breznica
Breznica,2024,0.2,33.52,,,,,,0.1,,,,4.0,58.0,1970.0,municipality,breznica
Breznički Hum,2021,0.9,26.05,,,,,,0.4,,,,10.0,43.0,1132.0,municipality,breznicki hum
Breznički Hum,2022,1.1,26.05,,,,,,0.5,,,,12.0,43.0,1132.0,municipality,breznicki hum
Breznički Hum,2023,1.1,26.05,126.0,11.1,4.8,5.1,53.7,0.5,644.0,56.9,24.7,12.0,43.0,1132.0,municipality,breznicki hum
Breznički Hum,2024,1.1,26.05,,,,,,0.5,,,,12.0,43.0,1132.0,municipality,breznicki hum
Brinje,2021,1.7,328.66,2016.0,78.7,6.1,1.2,56.2,0.1,2472.0,96.4,7.5,44.0,7.0,2563.0,municipality,brinje
Brinje,2022,1.7,328.66,,,,,,0.1,,,,44.0,7.0,2563.0,municipality,brinje
Brinje,2023,2.7,328.66,3278.0,127.9,10.0,1.3,59.6,0.2,4115.0,160.6,12.5,69.0,7.0,2563.0,municipality,brinje
Brinje,2024,3.9,328.66,3252.0,126.9,9.9,1.3,42.6,0.3,4217.0,164.5,12.8,99.0,7.0,2563.0,municipality,brinje
Brod Moravice,2021,5.9,62.02,339.0,51.1,5.5,3.1,26.8,0.6,1044.0,157.5,16.8,39.0,10.0,663.0,municipality,brod moravice
Brod Moravice,2022,8.9,62.02,911.0,137.4,14.7,2.9,45.5,1.0,2685.0,405.0,43.3,59.0,10.0,663.0,municipality,brod moravice
Brod Moravice,2023,11.5,62.02,1184.0,178.6,19.1,2.8,44.1,1.2,3351.0,505.4,54.0,76.0,10.0,663.0,municipality,brod moravice
Brod Moravice,2024,11.6,62.02,1046.0,157.8,16.9,3.0,41.2,1.2,3169.0,478.0,51.1,77.0,10.0,663.0,municipality,brod moravice
Brodski Stupnik,2021,1.7,57.88,,,,,,0.7,,,,41.0,40.0,2357.0,municipality,brodski stupnik
Brodski Stupnik,2022,1.7,57.88,,,,,,0.7,,,,41.0,40.0,2357.0,municipality,brodski stupnik
Brodski Stupnik,2023,1.7,57.88,,,,,,0.7,,,,41.0,40.0,2357.0,municipality,brodski stupnik
Brodski Stupnik,2024,1.8,57.88,,,,,,0.7,,,,42.0,40.0,2357.0,municipality,brodski stupnik
Brtonigla - Verteneglio,2021,373.3,32.92,67545.0,4435.0,2051.8,7.5,89.4,172.7,507976.0,33353.6,15430.6,5685.0,46.0,1523.0,municipality,brtonigla verteneglio
Brtonigla - Verteneglio,2022,378.5,32.92,90547.0,5945.3,2750.5,7.4,115.5,175.1,665867.0,43720.7,20226.8,5764.0,46.0,1523.0,municipality,brtonigla verteneglio
Brtonigla - Verteneglio,2023,386.7,32.92,96930.0,6364.4,2944.4,7.2,118.3,178.9,696981.0,45763.7,21172.0,5890.0,46.0,1523.0,municipality,brtonigla verteneglio
Brtonigla - Verteneglio,2024,392.1,32.92,100257.0,6582.9,3045.5,7.1,118.7,181.4,708506.0,46520.4,21522.1,5971.0,46.0,1523.0,municipality,brtonigla verteneglio
Budinščina,2021,0.7,55.03,,,,,,0.3,,,,16.0,39.0,2182.0,municipality,budinscina
Budinščina,2022,,55.03,,,,,,,,,,,39.0,2182.0,municipality,budinscina
Budinščina,2023,0.1,55.03,,,,,,0.1,,,,3.0,39.0,2182.0,municipality,budinscina
Budinščina,2024,,55.03,,,,,,,,,,,39.0,2182.0,municipality,budinscina
Buje - Buie,2021,63.7,99.24,34608.0,779.3,348.7,4.9,59.4,28.5,168125.0,3785.7,1694.1,2829.0,44.0,4441.0,municipality,buje buie
Buje - Buie,2022,65.4,99.24,52366.0,1179.1,527.7,4.6,83.2,29.3,241576.0,5439.7,2434.3,2904.0,44.0,4441.0,municipality,buje buie
Buje - Buie,2023,67.9,99.24,55591.0,1251.8,560.2,4.5,82.5,30.4,248910.0,5604.8,2508.2,3016.0,44.0,4441.0,municipality,buje buie
Buje - Buie,2024,68.4,99.24,56376.0,1269.4,568.1,4.5,83.4,30.6,253239.0,5702.3,2551.8,3036.0,44.0,4441.0,municipality,buje buie
Bukovlje,2021,,31.01,,,,,,,,,,,87.0,2727.0,municipality,bukovlje
Bukovlje,2022,,31.01,,,,,,,,,,,87.0,2727.0,municipality,bukovlje
Bukovlje,2023,0.1,31.01,,,,,,0.1,,,,2.0,87.0,2727.0,municipality,bukovlje
Bukovlje,2024,0.4,31.01,,,,,,0.3,,,,10.0,87.0,2727.0,municipality,bukovlje
Buzet,2021,14.3,169.04,13932.0,232.2,82.4,3.7,60.1,5.1,51360.0,856.1,303.8,855.0,35.0,5999.0,municipality,buzet
Buzet,2022,15.0,169.04,17205.0,286.8,101.8,3.7,71.0,5.3,63758.0,1062.8,377.2,898.0,35.0,5999.0,municipality,buzet
