"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Ribnik",362,40.54,8,155,1177,3076,325.1,849.7,29.0,75.9,42.8,3.8,2.6,19.8,362,40.54,8,155,1770,4252,489.0,1174.6,43.7,104.9,42.8,3.8,2.4,27.4,362,40.54,8,155,1802,4126,497.8,1139.8,44.4,101.8,42.8,3.8,2.3,26.6,362,40.54,8,155,1511,3310,417.4,914.4,37.3,81.6,42.8,3.8,2.2,21.4
"Saborsko",466,132.43,3,74,1046,1899,224.5,407.5,7.9,14.3,15.9,0.6,1.8,25.7,466,132.43,3,91,1569,3031,336.7,650.4,11.8,22.9,19.5,0.7,1.9,33.3,466,132.43,3,101,2134,4070,457.9,873.4,16.1,30.7,21.7,0.8,1.9,40.3,466,132.43,3,271,2233,4343,479.2,932.0,16.9,32.8,58.2,2.0,1.9,16.0
"Slunj",4224,393.36,10,5739,24955,52476,590.8,1242.3,63.4,133.4,135.9,14.6,2.1,9.1,4224,393.36,10,6381,37743,88771,893.5,2101.6,96.0,225.7,151.1,16.2,2.4,13.9,4224,393.36,10,2782,47244,86379,1118.5,2045.0,120.1,219.6,65.9,7.1,1.8,31.0,4224,393.36,10,2826,50558,90703,1196.9,2147.3,128.5,230.6,66.9,7.2,1.8,32.1
"Tounj",1002,96.11,10,110,1136,2819,113.4,281.3,11.8,29.3,11.0,1.1,2.5,25.6,1002,96.11,10,106,1137,3133,113.5,312.7,11.8,32.6,10.6,1.1,2.8,29.6,1002,96.11,10,2966,4109,21577,410.1,2153.4,42.8,224.5,296.0,30.9,5.3,7.3,1002,96.11,10,4421,3229,16210,322.3,1617.8,33.6,168.7,441.2,46.0,5.0,3.7
"Vojniæ",3602,238.94,15,92,886,2025,24.6,56.2,3.7,8.5,2.6,0.4,2.3,22.0,3602,238.94,15,97,887,2411,24.6,66.9,3.7,10.1,2.7,0.4,2.7,24.9,3602,238.94,15,101,965,2388,26.8,66.3,4.0,10.0,2.8,0.4,2.5,23.6,3602,238.94,15,120,1151,2816,32.0,78.2,4.8,11.8,3.3,0.5,2.4,23.5
"Žakanje",1732,44.68,38,4,z,z,z,z,z,z,0.2,0.1,z,z,1732,44.68,38,4,z,z,z,z,z,z,0.2,0.1,z,z,1732,44.68,38,10,z,z,z,z,z,z,0.6,0.2,z,z,1732,44.68,38,17,z,z,z,z,z,z,1.0,0.4,z,z
"County of Bjelovar-Bilogora",101879,2638.62,39,964,15327,49042,15.0,48.1,5.8,18.6,0.9,0.4,3.2,50.9,101879,2638.62,39,1166,22387,68319,22.0,67.1,8.5,25.9,1.1,0.4,3.1,58.6,101879,2638.62,39,1206,28975,83102,28.4,81.6,11.0,31.5,1.2,0.5,2.9,68.9,101879,2638.62,39,1548,28582,84258,28.1,82.7,10.8,31.9,1.5,0.6,2.9,54.4
"Berek",1106,110.96,9,40,z,z,z,z,z,z,3.6,0.4,z,z,1106,110.96,9,40,z,z,z,z,z,z,3.6,0.4,z,z,1106,110.96,9,40,z,z,z,z,z,z,3.6,0.4,z,z,1106,110.96,9,40,z,z,z,z,z,z,3.6,0.4,z,z
"Bjelovar",36316,187.86,193,236,2904,6795,8.0,18.7,15.5,36.2,0.6,1.3,2.3,28.8,36316,187.86,193,322,4528,10145,12.5,27.9,24.1,54.0,0.9,1.7,2.2,31.5,36316,187.86,193,360,7842,16368,21.6,45.1,41.7,87.1,1.0,1.9,2.1,45.5,36316,187.86,193,642,8540,19499,23.5,53.7,45.5,103.8,1.8,3.4,2.3,30.4
"Èazma",6930,239.93,28,40,395,873,5.7,12.6,1.6,3.6,0.6,0.2,2.2,21.8,6930,239.93,28,48,656,1601,9.5,23.1,2.7,6.7,0.7,0.2,2.4,33.4,6930,239.93,28,60,621,1623,9.0,23.4,2.6,6.8,0.9,0.3,2.6,27.1,6930,239.93,28,43,638,1261,9.2,18.2,2.7,5.3,0.6,0.2,2.0,29.3
