"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Èabar",3226,279.89,11,149,1361,3432,42.2,106.4,4.9,12.3,4.6,0.5,2.5,23.0,3226,279.89,11,189,1492,4005,46.2,124.1,5.3,14.3,5.9,0.7,2.7,21.2,3226,279.89,11,245,1502,4298,46.6,133.2,5.4,15.4,7.6,0.9,2.9,17.5,3226,279.89,11,271,1611,4849,49.9,150.3,5.8,17.3,8.4,1.0,3.0,17.9
"Èavle",7059,84.71,83,328,4293,12492,60.8,177.0,50.7,147.5,4.6,3.9,2.9,38.1,7059,84.71,83,380,4804,14089,68.1,199.6,56.7,166.3,5.4,4.5,2.9,37.1,7059,84.71,83,420,4770,14085,67.6,199.5,56.3,166.3,5.9,5.0,3.0,33.5,7059,84.71,83,422,5186,14123,73.5,200.1,61.2,166.7,6.0,5.0,2.7,33.5
"Delnice",5135,230.90,22,572,10526,25973,205.0,505.8,45.6,112.5,11.1,2.5,2.5,45.4,5135,230.90,22,628,10608,28119,206.6,547.6,45.9,121.8,12.2,2.7,2.7,44.8,5135,230.90,22,716,11248,28780,219.0,560.5,48.7,124.6,13.9,3.1,2.6,40.2,5135,230.90,22,720,10903,27328,212.3,532.2,47.2,118.4,14.0,3.1,2.5,38.0
"Dobrinj",2150,55.10,39,6049,57741,386017,2685.6,17954.3,1047.9,7005.8,281.3,109.8,6.7,63.8,2150,55.10,39,6158,70542,466212,3281.0,21684.3,1280.3,8461.2,286.4,111.8,6.6,75.7,2150,55.10,39,6195,72222,464232,3359.2,21592.2,1310.7,8425.3,288.1,112.4,6.4,74.9,2150,55.10,39,6271,72016,459442,3349.6,21369.4,1307.0,8338.3,291.7,113.8,6.4,73.3
"Fužine",1394,85.81,16,595,9990,25168,716.6,1805.5,116.4,293.3,42.7,6.9,2.5,42.3,1394,85.81,16,617,9988,29971,716.5,2150.0,116.4,349.3,44.3,7.2,3.0,48.6,1394,85.81,16,671,12608,33590,904.4,2409.6,146.9,391.4,48.1,7.8,2.7,50.1,1394,85.81,16,686,10689,30371,766.8,2178.7,124.6,353.9,49.2,8.0,2.8,44.3
"Jelenje",5096,109.08,46,156,1997,7148,39.2,140.3,18.3,65.5,3.1,1.4,3.6,45.8,5096,109.08,46,173,2201,8377,43.2,164.4,20.2,76.8,3.4,1.6,3.8,48.4,5096,109.08,46,183,2606,9534,51.1,187.1,23.9,87.4,3.6,1.7,3.7,52.1,5096,109.08,46,165,z,z,z,z,z,z,3.2,1.5,z,z
"Kastav",10202,11.41,893,578,6428,29025,63.0,284.5,563.4,2543.8,5.7,50.7,4.5,50.2,10202,11.41,893,646,8852,41118,86.8,403.0,775.8,3603.7,6.3,56.6,4.6,63.7,10202,11.41,893,714,9549,41520,93.6,407.0,836.9,3638.9,7.0,62.6,4.3,58.2,10202,11.41,893,706,9573,40451,93.8,396.5,839.0,3545.2,6.9,61.9,4.2,57.3
"Klana",1845,94.33,19,21,207,1225,11.2,66.4,2.2,13.0,1.1,0.2,5.9,58.3,1845,94.33,19,25,259,1544,14.0,83.7,2.7,16.4,1.4,0.3,6.0,61.8,1845,94.33,19,35,313,1753,17.0,95.0,3.3,18.6,1.9,0.4,5.6,50.1,1845,94.33,19,33,z,z,z,z,z,z,1.8,0.3,z,z
"Kostrena",4398,12.00,366,857,9848,51204,223.9,1164.3,820.7,4267.0,19.5,71.4,5.2,59.7,4398,12.00,366,913,13556,61204,308.2,1391.6,1129.7,5100.3,20.8,76.1,4.5,67.0,4398,12.00,366,977,17015,69840,386.9,1588.0,1417.9,5820.0,22.2,81.4,4.1,71.5,4398,12.00,366,1038,17041,68876,387.5,1566.1,1420.1,5739.7,23.6,86.5,4.0,66.4
"Kraljevica",4066,17.58,231,2547,28711,133335,706.1,3279.3,1633.2,7584.5,62.6,144.9,4.6,52.3,4066,17.58,231,2513,44041,179870,1083.2,4423.8,2505.2,10231.5,61.8,142.9,4.1,71.6,4066,17.58,231,2674,42693,177996,1050.0,4377.7,2428.5,10124.9,65.8,152.1,4.2,66.6,4066,17.58,231,2669,47466,192497,1167.4,4734.3,2700.0,10949.8,65.6,151.8,4.1,72.1
"Krk",6816,107.12,63,14084,192177,1121117,2819.5,16448.3,1794.0,10466.0,206.6,131.5,5.8,79.6,6816,107.12,63,13893,246352,1404119,3614.3,20600.3,2299.8,13107.9,203.8,129.7,5.7,101.1,6816,107.12,63,14259,252591,1422837,3705.9,20875.0,2358.0,13282.6,209.2,133.1,5.6,99.8,6816,107.12,63,14442,246789,1364729,3620.7,20022.4,2303.9,12740.2,211.9,134.8,5.5,94.5
"Lokve",850,41.97,20,122,2231,5490,262.5,645.9,53.2,130.8,14.4,2.9,2.5,45.0,850,41.97,20,157,2680,6997,315.3,823.2,63.9,166.7,18.5,3.7,2.6,44.6,850,41.97,20,173,2514,6608,295.8,777.4,59.9,157.4,20.4,4.1,2.6,38.2,850,41.97,20,158,2687,7121,316.1,837.8,64.0,169.7,18.6,3.8,2.7,45.1
"Lopar",1107,26.23,42,9165,75083,588117,6782.6,53127.1,2862.5,22421.5,827.9,349.4,7.8,64.2,1107,26.23,42,9150,93767,698956,8470.4,63139.7,3574.8,26647.2,826.6,348.8,7.5,76.4,1107,26.23,42,9140,92678,677076,8372.0,61163.1,3533.3,25813.0,825.7,348.5,7.3,74.1,1107,26.23,42,9128,92120,660778,8321.6,59690.9,3512.0,25191.7,824.6,348.0,7.2,72.4
"Lovran",3527,20.30,173,4341,51595,233431,1462.9,6618.4,2541.6,11499.1,123.1,213.8,4.5,53.8,3527,20.30,173,4243,79705,329011,2259.9,9328.4,3926.4,16207.4,120.3,209.0,4.1,77.5,3527,20.30,173,4099,91584,355312,2596.7,10074.1,4511.5,17503.1,116.2,201.9,3.9,86.7,3527,20.30,173,4158,97300,359167,2758.7,10183.4,4793.1,17693.0,117.9,204.8,3.7,86.4
"Mali Lošinj",7537,224.57,33,21523,230402,1668920,3056.9,22143.0,1026.0,7431.6,285.6,95.8,7.2,77.5,7537,224.57,33,21607,283243,1961412,3758.0,26023.8,1261.3,8734.1,286.7,96.2,6.9,90.8,7537,224.57,33,21752,282012,1902655,3741.7,25244.2,1255.8,8472.4,288.6,96.9,6.7,87.5,7537,224.57,33,21982,292698,1944428,3883.5,25798.4,1303.4,8658.4,291.7,97.9,6.6,88.5
"Malinska-Dubašnica",3212,40.92,78,8683,90308,559331,2811.6,17413.8,2206.9,13668.9,270.3,212.2,6.2,64.4,3212,40.92,78,8713,111739,671934,3478.8,20919.5,2730.7,16420.7,271.3,212.9,6.0,77.1,3212,40.92,78,8945,109860,648603,3420.3,20193.1,2684.8,15850.5,278.5,218.6,5.9,72.5,3212,40.92,78,9411,115675,668430,3601.3,20810.4,2826.9,16335.0,293.0,230.0,5.8,71.0
"Matulji",10773,176.59,61,1368,14936,75317,138.6,699.1,84.6,426.5,12.7,7.7,5.0,55.1,10773,176.59,61,1461,17779,93867,165.0,871.3,100.7,531.6,13.6,8.3,5.3,64.2,10773,176.59,61,1665,18707,97101,173.6,901.3,105.9,549.9,15.5,9.4,5.2,58.3,10773,176.59,61,1722,18058,91694,167.6,851.1,102.3,519.2,16.0,9.8,5.1,53.2
"Mošæenièka Draga",1288,46.66,27,3170,40044,216642,3109.0,16820.0,858.2,4643.0,246.1,67.9,5.4,68.3,1288,46.66,27,3218,51493,261278,3997.9,20285.6,1103.6,5599.6,249.8,69.0,5.1,81.2,1288,46.66,27,3249,52183,265968,4051.5,20649.7,1118.4,5700.1,252.3,69.6,5.1,81.9,1288,46.66,27,3248,53990,269117,4191.8,20894.2,1157.1,5767.6,252.2,69.6,5.0,82.9
"Mrkopalj",924,156.33,5,281,4370,11848,472.9,1282.3,28.0,75.8,30.4,1.8,2.7,42.2,924,156.33,5,317,4658,13808,504.1,1494.4,29.8,88.3,34.3,2.0,3.0,43.6,924,156.33,5,332,5004,15102,541.6,1634.4,32.0,96.6,35.9,2.1,3.0,45.5,924,156.33,5,364,4844,14018,524.2,1517.1,31.0,89.7,39.4,2.3,2.9,38.5
"Novi Vinodolski",4328,261.38,16,11508,101236,520128,2339.1,12017.7,387.3,1989.9,265.9,44.0,5.1,45.2,4328,261.38,16,11566,129689,667028,2996.5,15411.9,496.2,2551.9,267.2,44.2,5.1,57.7,4328,261.38,16,11500,126213,626249,2916.2,14469.7,482.9,2395.9,265.7,44.0,5.0,54.5,4328,261.38,16,11369,135466,657115,3130.0,15182.9,518.3,2514.0,262.7,43.5,4.9,57.8
"Omišalj",2992,39.23,76,7515,122270,664955,4086.6,22224.4,3116.7,16950.2,251.2,191.6,5.4,88.5,2992,39.23,76,7735,168288,871805,5624.6,29137.9,4289.8,22222.9,258.5,197.2,5.2,112.7,2992,39.23,76,7999,182043,895526,6084.3,29930.7,4640.4,22827.6,267.3,203.9,4.9,112.0,2992,39.23,76,8213,176280,857983,5891.7,28675.9,4493.5,21870.6,274.5,209.4,4.9,104.5
"Opatija",10619,67.22,157,10993,258721,906400,2436.4,8535.6,3848.9,13484.1,103.5,163.5,3.5,82.5,10619,67.22,157,12398,389308,1298281,3666.1,12226.0,5791.6,19313.9,116.8,184.4,3.3,104.7,10619,67.22,157,12435,432413,1349087,4072.1,12704.5,6432.8,20069.7,117.1,185.0,3.1,108.5,10619,67.22,157,12723,446747,1361164,4207.1,12818.2,6646.0,20249.4,119.8,189.3,3.0,107.0
"Punat",1900,33.99,55,8115,87979,498815,4630.5,26253.4,2588.4,14675.3,427.1,238.7,5.7,61.5,1900,33.99,55,7999,107246,576137,5644.5,30323.0,3155.2,16950.2,421.0,235.3,5.4,72.0,1900,33.99,55,8042,112233,575540,5907.0,30291.6,3301.9,16932.6,423.3,236.6,5.1,71.6,1900,33.99,55,8058,107078,554155,5635.7,29166.1,3150.3,16303.5,424.1,237.1,5.2,68.8
"Rab",7161,75.88,94,18106,148391,1089030,2072.2,15207.8,1955.6,14352.0,252.8,238.6,7.3,60.1,7161,75.88,94,17812,173949,1248620,2429.1,17436.4,2292.4,16455.2,248.7,234.7,7.2,70.1,7161,75.88,94,17959,180238,1230430,2516.9,17182.4,2375.3,16215.5,250.8,236.7,6.8,68.5,7161,75.88,94,17892,183297,1219101,2559.7,17024.2,2415.6,16066.2,249.9,235.8,6.7,68.1
"Ravna Gora",2028,83.61,24,377,6289,14316,310.1,705.9,75.2,171.2,18.6,4.5,2.3,38.0,2028,83.61,24,422,9446,19695,465.8,971.2,113.0,235.6,20.8,5.0,2.1,46.7,2028,83.61,24,463,9644,20607,475.5,1016.1,115.3,246.5,22.8,5.5,2.1,44.5,2028,83.61,24,514,11210,24190,552.8,1192.8,134.1,289.3,25.3,6.1,2.2,47.1
"Rijeka",107964,43.38,2488,5268,107087,320869,99.2,297.2,2468.6,7396.7,4.9,121.4,3.0,60.9,107964,43.38,2488,7389,179711,511008,166.5,473.3,4142.7,11779.8,6.8,170.3,2.8,69.2,107964,43.38,2488,7995,217488,589486,201.4,546.0,5013.6,13588.9,7.4,184.3,2.7,73.7,107964,43.38,2488,8575,221497,595664,205.2,551.7,5106.0,13731.3,7.9,197.7,2.7,69.5
"Skrad",858,52.67,16,116,2182,5605,254.3,653.3,41.4,106.4,13.5,2.2,2.6,48.3,858,52.67,16,114,2196,5711,255.9,665.6,41.7,108.4,13.3,2.2,2.6,50.1,858,52.67,16,116,2070,5409,241.3,630.4,39.3,102.7,13.5,2.2,2.6,46.6,858,52.67,16,135,1805,4642,210.4,541.0,34.3,88.1,15.7,2.6,2.6,34.4
"Vinodolska Opæina",3226,152.93,21,1510,10555,82463,327.2,2556.2,69.0,539.2,46.8,9.9,7.8,54.6,3226,152.93,21,1570,13040,102490,404.2,3177.0,85.3,670.2,48.7,10.3,7.9,65.3,3226,152.93,21,1644,14030,99998,434.9,3099.8,91.7,653.9,51.0,10.8,7.1,60.8,3226,152.93,21,1669,12728,90644,394.5,2809.8,83.2,592.7,51.7,10.9,7.1,54.3
"Viškovo",16084,18.68,861,279,2466,13966,15.3,86.8,132.0,747.6,1.7,14.9,5.7,50.1,16084,18.68,861,383,3991,21260,24.8,132.2,213.7,1138.1,2.4,20.5,5.3,55.5,16084,18.68,861,389,4585,23691,28.5,147.3,245.4,1268.3,2.4,20.8,5.2,60.9,16084,18.68,861,430,3966,21783,24.7,135.4,212.3,1166.1,2.7,23.0,5.5,50.7
"Vrbnik",1190,52.60,22,1430,17203,97111,1445.6,8160.6,327.1,1846.2,120.2,27.2,5.6,67.9,1190,52.60,22,1557,20609,120757,1731.8,10147.6,391.8,2295.8,130.8,29.6,5.9,77.6,1190,52.60,22,1605,21223,120675,1783.4,10140.8,403.5,2294.2,134.9,30.5,5.7,75.2,1190,52.60,22,1651,20462,114495,1719.5,9621.4,389.0,2176.7,138.7,31.4,5.6,69.3
"Vrbovsko",3876,279.87,13,231,2902,8549,74.9,220.6,10.4,30.5,6.0,0.8,2.9,37.0,3876,279.87,13,248,2969,9164,76.6,236.4,10.6,32.7,6.4,0.9,3.1,37.0,3876,279.87,13,296,3267,10089,84.3,260.3,11.7,36.0,7.6,1.1,3.1,34.1,3876,279.87,13,273,2311,7854,59.6,202.6,8.3,28.1,7.0,1.0,3.4,28.8
"County of Lika-Senj",42748,5355.07,8,39193,484408,2213140,1133.2,5177.2,90.5,413.3,91.7,7.3,4.6,56.5,42748,5355.07,8,41109,651122,2815862,1523.2,6587.1,121.6,525.8,96.2,7.7,4.3,68.5,42748,5355.07,8,43229,747112,2903811,1747.7,6792.9,139.5,542.3,101.1,8.1,3.9,67.2,42748,5355.07,8,43870,770633,2940355,1802.7,6878.3,143.9,549.1,102.6,8.2,3.8,67.0
"Brinje",2563,328.66,7,44,2016,2472,78.7,96.4,6.1,7.5,1.7,0.1,1.2,56.2,2563,328.66,7,44,z,z,z,z,z,z,1.7,0.1,z,z,2563,328.66,7,69,3278,4115,127.9,160.6,10.0,12.5,2.7,0.2,1.3,59.6,2563,328.66,7,99,3252,4217,126.9,164.5,9.9,12.8,3.9,0.3,1.3,42.6
"Donji Lapac",1366,350.70,3,34,229,418,16.8,30.6,0.7,1.2,2.5,0.1,1.8,12.3,1366,350.70,3,41,z,z,z,z,z,z,3.0,0.1,z,z,1366,350.70,3,31,176,390,12.9,28.6,0.5,1.1,2.3,0.1,2.2,12.6,1366,350.70,3,61,315,671,23.1,49.1,0.9,1.9,4.5,0.2,2.1,11.0
"Gospiæ",11502,967.45,11,860,14428,29568,125.4,257.1,14.9,30.6,7.5,0.9,2.0,34.4,11502,967.45,11,931,17205,37066,149.6,322.3,17.8,38.3,8.1,1.0,2.2,39.8,11502,967.45,11,1023,22618,45123,196.6,392.3,23.4,46.6,8.9,1.1,2.0,44.1,11502,967.45,11,1117,24042,49184,209.0,427.6,24.9,50.8,9.7,1.2,2.0,44.0
"Karlobag",780,280.83,2,2971,26417,163054,3386.8,20904.4,94.1,580.6,380.9,10.6,6.2,54.9,780,280.83,2,2895,30529,190608,3914.0,24436.9,108.7,678.7,371.2,10.3,6.2,65.8,780,280.83,2,3018,30873,179553,3958.1,23019.6,109.9,639.4,386.9,10.7,5.8,59.5,780,280.83,2,2959,30157,173234,3866.3,22209.5,107.4,616.9,379.4,10.5,5.7,58.5
"Lovinac",943,345.80,2,186,1512,4640,160.3,492.0,4.4,13.4,19.7,0.5,3.1,24.9,943,345.80,2,205,1530,5585,162.2,592.3,4.4,16.2,21.7,0.6,3.7,27.2,943,345.80,2,256,2436,6957,258.3,737.8,7.0,20.1,27.1,0.7,2.9,27.2,943,345.80,2,208,2510,6890,266.2,730.6,7.3,19.9,22.1,0.6,2.7,33.1
"Novalja",3680,95.69,38,23575,222639,1460813,6050.0,39696.0,2326.7,15266.1,640.6,246.4,6.6,62.0,3680,95.69,38,24625,283760,1824638,7710.9,49582.6,2965.4,19068.2,669.2,257.3,6.4,74.1,3680,95.69,38,25313,291985,1813379,7934.4,49276.6,3051.4,18950.6,687.9,264.5,6.2,71.6,3680,95.69,38,25935,295223,1839322,8022.4,49981.6,3085.2,19221.7,704.8,271.0,6.2,70.9
"Otoèac",8332,564.97,14,792,14054,28512,168.7,342.2,24.9,50.5,9.5,1.4,2.0,36.0,8332,564.97,14,933,25966,44971,311.6,539.7,46.0,79.6,11.2,1.7,1.7,48.2,8332,564.97,14,939,41569,60110,498.9,721.4,73.6,106.4,11.3,1.7,1.4,64.0,8332,564.97,14,972,42228,58760,506.8,705.2,74.7,104.0,11.7,1.7,1.4,60.5
"Perušiæ",1973,382.99,5,130,1522,3462,77.1,175.5,4.0,9.0,6.6,0.3,2.3,26.6,1973,382.99,5,135,2323,4942,117.7,250.5,6.1,12.9,6.8,0.4,2.1,36.6,1973,382.99,5,151,2416,4699,122.5,238.2,6.3,12.3,7.7,0.4,1.9,31.1,1973,382.99,5,165,2504,5035,126.9,255.2,6.5,13.1,8.4,0.4,2.0,30.5
"Plitvièka jezera",3649,469.04,7,4127,129402,213485,3546.2,5850.5,275.9,455.2,113.1,8.8,1.6,51.7,3649,469.04,7,4777,193675,321992,5307.6,8824.1,412.9,686.5,130.9,10.2,1.7,67.4,3649,469.04,7,5421,251558,394887,6893.9,10821.8,536.3,841.9,148.6,11.6,1.6,72.8,3649,469.04,7,5362,266634,410293,7307.0,11244.0,568.5,874.8,146.9,11.4,1.5,76.5
"Senj",5973,657.90,9,5954,66507,296409,1113.5,4962.5,101.1,450.5,99.7,9.1,4.5,49.8,5973,657.90,9,5945,84890,367623,1421.2,6154.7,129.0,558.8,99.5,9.0,4.3,61.8,5973,657.90,9,6173,92209,379320,1543.8,6350.6,140.2,576.6,103.3,9.4,4.1,61.4,5973,657.90,9,6167,97873,381124,1638.6,6380.8,148.8,579.3,103.2,9.4,3.9,61.8
"Udbina",1334,685.76,1,54,476,1259,35.7,94.4,0.7,1.8,4.0,0.1,2.6,23.3,1334,685.76,1,65,1015,2470,76.1,185.2,1.5,3.6,4.9,0.1,2.4,38.0,1334,685.76,1,59,1091,2940,81.8,220.4,1.6,4.3,4.4,0.1,2.7,49.8,1334,685.76,1,55,877,2423,65.7,181.6,1.3,3.5,4.1,0.1,2.8,44.1
"Vrhovine",653,225.28,2,466,5206,9048,797.2,1385.6,23.1,40.2,71.4,2.1,1.7,19.4,653,225.28,2,513,6811,11392,1043.0,1744.6,30.2,50.6,78.6,2.3,1.7,22.2,653,225.28,2,776,6903,12338,1057.1,1889.4,30.6,54.8,118.8,3.4,1.8,15.9,653,225.28,2,770,5018,9202,768.5,1409.2,22.3,40.8,117.9,3.4,1.8,12.0
"County of Zadar",159766,3642.95,44,140267,1299326,8276797,813.3,5180.6,356.7,2272.0,87.8,38.5,6.4,59.0,159766,3642.95,44,142071,1670127,10066168,1045.4,6300.6,458.5,2763.2,88.9,39.0,6.0,70.9,159766,3642.95,44,143992,1791788,10122050,1121.5,6335.5,491.9,2778.5,90.1,39.5,5.6,70.3,159766,3642.95,44,149576,1917986,10461110,1200.5,6547.8,526.5,2871.6,93.6,41.1,5.5,69.9
"Benkovac",9680,514.46,18,982,5418,42648,56.0,440.6,10.5,82.9,10.1,1.9,7.9,43.4,9680,514.46,18,1131,7305,57791,75.5,597.0,14.2,112.3,11.7,2.2,7.9,51.1,9680,514.46,18,1252,8335,61950,86.1,640.0,16.2,120.4,12.9,2.4,7.4,49.5,9680,514.46,18,1368,10376,71363,107.2,737.2,20.2,138.7,14.1,2.7,6.9,52.2
"Bibinje",3962,14.27,277,3883,27131,198018,684.8,4997.9,1901.3,13876.5,98.0,272.1,7.3,51.0,3962,14.27,277,3932,33746,233414,851.7,5891.3,2364.8,16357.0,99.2,275.5,6.9,59.4,3962,14.27,277,3962,34892,228149,880.7,5758.4,2445.1,15988.0,100.0,277.6,6.5,57.6,3962,14.27,277,3950,37180,229124,938.4,5783.0,2605.5,16056.3,99.7,276.8,6.2,58.0
"Biograd na Moru",5601,37.18,150,12247,122638,740897,2189.6,13227.9,3298.5,19927.3,218.7,329.4,6.0,60.5,5601,37.18,150,12356,166454,931808,2971.9,16636.5,4477.0,25062.1,220.6,332.3,5.6,75.4,5601,37.18,150,12259,177679,951626,3172.3,16990.3,4778.9,25595.1,218.9,329.7,5.4,77.6,5601,37.18,150,12313,188164,959038,3359.5,17122.6,5060.9,25794.5,219.8,331.2,5.1,77.9
"Galovac",1258,9.51,132,197,z,z,z,z,z,z,15.7,20.7,z,z,1258,9.51,132,225,1811,13453,144.0,1069.4,190.4,1414.6,17.9,23.7,7.4,59.8,1258,9.51,132,214,1721,12668,136.8,1007.0,181.0,1332.1,17.0,22.5,7.4,59.2,1258,9.51,132,196,1638,11863,130.2,943.0,172.2,1247.4,15.6,20.6,7.2,60.5
"Graèac",3136,958.26,3,285,1663,4502,53.0,143.6,1.7,4.7,9.1,0.3,2.7,15.8,3136,958.26,3,305,2139,5229,68.2,166.7,2.2,5.5,9.7,0.3,2.4,17.1,3136,958.26,3,340,3004,7714,95.8,246.0,3.1,8.1,10.8,0.4,2.6,22.7,3136,958.26,3,304,4245,10307,135.4,328.7,4.4,10.8,9.7,0.3,2.4,33.9
"Jasenice",1348,121.63,11,1778,11490,87054,852.4,6458.0,94.5,715.7,131.9,14.6,7.6,49.0,1348,121.63,11,1866,z,z,z,z,z,z,138.4,15.3,z,z,1348,121.63,11,1928,15569,111593,1155.0,8278.4,128.0,917.5,143.0,15.9,7.2,57.9,1348,121.63,11,2056,15766,110302,1169.6,8182.6,129.6,906.9,152.5,16.9,7.0,53.6
"Kali",1585,9.45,167,659,4188,34518,264.2,2177.8,443.2,3652.7,41.6,69.7,8.2,52.4,1585,9.45,167,678,5391,41412,340.1,2612.7,570.5,4382.2,42.8,71.7,7.7,61.1,1585,9.45,167,699,5144,40268,324.5,2540.6,544.3,4261.2,44.1,74.0,7.8,57.6,1585,9.45,167,689,5302,39821,334.5,2512.4,561.1,4213.9,43.5,72.9,7.5,57.8
"Kolan",815,28.84,28,4195,28633,212589,3513.3,26084.5,992.8,7371.3,514.7,145.5,7.4,50.7,815,28.84,28,4145,38665,269779,4744.2,33101.7,1340.7,9354.3,508.6,143.7,7.0,65.1,815,28.84,28,4090,40192,267966,4931.5,32879.3,1393.6,9291.5,501.8,141.8,6.7,65.5,815,28.84,28,4193,36939,250572,4532.4,30745.0,1280.8,8688.3,514.5,145.4,6.8,59.8
"Kukljica",628,6.75,93,896,5948,49577,947.1,7894.4,881.2,7344.7,142.7,132.7,8.3,55.3,628,6.75,93,875,5881,45661,936.5,7270.9,871.3,6764.6,139.3,129.6,7.8,52.2,628,6.75,93,873,6083,48085,968.6,7656.8,901.2,7123.7,139.0,129.3,7.9,55.1,628,6.75,93,876,6199,46467,987.1,7399.2,918.4,6884.0,139.5,129.8,7.5,53.0
"Lišane Ostrovièke",593,48.97,12,23,z,z,z,z,z,z,3.9,0.5,z,z,593,48.97,12,23,z,z,z,z,z,z,3.9,0.5,z,z,593,48.97,12,31,z,z,z,z,z,z,5.2,0.6,z,z,593,48.97,12,35,z,z,z,z,z,z,5.9,0.7,z,z
"Nin",2705,53.31,50,11470,119845,907666,4430.5,33555.1,2248.1,17026.2,424.0,215.2,7.6,79.1,2705,53.31,50,11467,154920,1164057,5727.2,43033.5,2906.0,21835.6,423.9,215.1,7.5,101.5,2705,53.31,50,11437,160042,1170606,5916.5,43275.6,3002.1,21958.5,422.8,214.5,7.3,102.4,2705,53.31,50,11823,168436,1172559,6226.8,43347.8,3159.6,21995.1,437.1,221.8,7.0,99.2
"Novigrad",2160,51.16,42,1122,6082,47067,281.6,2179.0,118.9,920.0,51.9,21.9,7.7,41.9,2160,51.16,42,1167,8056,60469,373.0,2799.5,157.5,1182.0,54.0,22.8,7.5,51.8,2160,51.16,42,1185,8078,60309,374.0,2792.1,157.9,1178.8,54.9,23.2,7.5,50.9,2160,51.16,42,1215,7650,53375,354.2,2471.1,149.5,1043.3,56.3,23.7,7.0,43.9
"Obrovac",3453,352.99,9,1479,9343,64678,270.6,1873.1,26.5,183.2,42.8,4.2,6.9,43.7,3453,352.99,9,1567,z,z,z,z,z,z,45.4,4.4,z,z,3453,352.99,9,1706,12378,79069,358.5,2289.9,35.1,224.0,49.4,4.8,6.4,46.3,3453,352.99,9,1722,15212,86404,440.5,2502.3,43.1,244.8,49.9,4.9,5.7,50.2
"Pag",3175,132.81,23,10849,98844,708747,3113.2,22322.7,744.3,5336.5,341.7,81.7,7.2,65.3,3175,132.81,23,10764,118007,830095,3716.8,26144.7,888.5,6250.2,339.0,81.0,7.0,77.1,3175,132.81,23,11020,119784,796109,3772.7,25074.3,901.9,5994.3,347.1,83.0,6.6,72.2,3175,132.81,23,10941,124664,816284,3926.4,25709.7,938.7,6146.3,344.6,82.4,6.5,74.6
"Pakoštane",4100,83.49,49,10943,81773,594451,1994.5,14498.8,979.4,7120.0,266.9,131.1,7.3,54.3,4100,83.49,49,11053,99084,703115,2416.7,17149.1,1186.8,8421.5,269.6,132.4,7.1,63.6,4100,83.49,49,11360,98825,685614,2410.4,16722.3,1183.7,8211.9,277.1,136.1,6.9,60.4,4100,83.49,49,11474,104702,721460,2553.7,17596.6,1254.1,8641.3,279.9,137.4,6.9,62.9
"Pašman",2136,48.42,44,3661,21460,194648,1004.7,9112.7,443.2,4020.0,171.4,75.6,9.1,53.2,2136,48.42,44,3648,23268,208798,1089.3,9775.2,480.5,4312.2,170.8,75.3,9.0,57.2,2136,48.42,44,3729,22972,201969,1075.5,9455.5,474.4,4171.2,174.6,77.0,8.8,54.2,2136,48.42,44,3730,z,z,z,z,z,z,174.6,77.0,z,z
